symbol,price,change,change_percent,timestamp,source
BTC-USD,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:09:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:09:38,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:09:42,yfinance
EDA,0.0,0.0,0.0,2025-12-15 17:09:48,yfinance
ADA,0.0,0.0,0.0,2025-12-15 17:09:51,yfinance
ADAUSD,0.0,0.0,0.0,2025-12-15 17:09:55,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:10:03,yfinance
DOGE-USD,0.0,0.0,0.0,2025-12-15 17:10:12,yfinance
ETH-USD,0.0,0.0,0.0,2025-12-15 17:10:20,yfinance
ETH-USD,0.0,0.0,0.0,2025-12-15 17:10:31,yfinance
SOL-USD,0.0,0.0,0.0,2025-12-15 17:10:44,yfinance
SOL-USD,0.0,0.0,0.0,2025-12-15 17:10:45,yfinance
SOL-USD,0.0,0.0,0.0,2025-12-15 17:10:49,yfinance
AAPL,0.0,0.0,0.0,2025-12-15 17:10:55,yfinance
NVDA,0.0,0.0,0.0,2025-12-15 17:11:02,yfinance
NVDA,0.0,0.0,0.0,2025-12-15 17:11:04,yfinance
NVDA,0.0,0.0,0.0,2025-12-15 17:11:05,yfinance
NVDA,0.0,0.0,0.0,2025-12-15 17:11:06,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:11:18,yfinance
RON-USD,0.0,0.0,0.0,2025-12-15 17:11:37,yfinance
USDRON=X,0.0,0.0,0.0,2025-12-15 17:11:45,yfinance
USD-EUR,0.0,0.0,0.0,2025-12-15 17:11:59,yfinance
USD-EUR,0.0,0.0,0.0,2025-12-15 17:12:01,yfinance
USD-EUR,0.0,0.0,0.0,2025-12-15 17:12:01,yfinance
USD-EUR,0.0,0.0,0.0,2025-12-15 17:12:02,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:12:09,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:12:14,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:12:19,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:12:28,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:12:57,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:13:08,yfinance
NVDA,0.0,0.0,0.0,2025-12-15 17:13:27,yfinance
KRK,0.0,0.0,0.0,2025-12-15 17:13:35,yfinance
KRK-USD,0.0,0.0,0.0,2025-12-15 17:13:40,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:14:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:17:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:17:36,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:21:59,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:22:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:22:03,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:13,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:24:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:24:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:24:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:25:14,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:33,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:25:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:29:21,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:29,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:29:30,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:31:27,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:31:32,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:31:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:32:34,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:32:39,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:32:44,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:32:49,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:32:54,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:32:59,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:33:04,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:33:09,yfinance
